NAME	DESCRIPTION	GENE_SYMBOL	GENE_TITLE	SCORE	
LAT	LAT	LAT	linker for activation of T cells	2.2079525	
LIMD2	LIMD2	LIMD2	LIM domain containing 2	1.7086201	
ZNF101	ZNF101	ZNF101	zinc finger protein 101	1.5963718	
RP11-486O12.2	RP11-486O12.2	null	null	1.5626992	
TRIM26	TRIM26	TRIM26	tripartite motif-containing 26	1.5045555	
BMP8B	BMP8B	BMP8B	bone morphogenetic protein 8b (osteogenic protein 2)	1.4875418	
TRAF2	TRAF2	TRAF2	TNF receptor-associated factor 2	1.4053501	
ZNF563	ZNF563	ZNF563	zinc finger protein 563	1.3834682	
CAPN5	CAPN5	CAPN5	calpain 5	1.3651623	
AC104698.1	AC104698.1	null	null	1.3543823	
CTC-479C5.12	CTC-479C5.12	null	null	1.2981248	
EVL	EVL	EVL	Enah/Vasp-like	1.286509	
ADAMTSL4	ADAMTSL4	ADAMTSL4	ADAMTS-like 4	1.2534821	
RP1-313I6.12	RP1-313I6.12	null	null	1.2432228	
IZUMO4	IZUMO4	null	null	1.2339227	
RHEBL1	RHEBL1	RHEBL1	Ras homolog enriched in brain like 1	1.2299858	
RP11-1143G9.4	RP11-1143G9.4	null	null	1.2274907	
TNFRSF21	TNFRSF21	TNFRSF21	tumor necrosis factor receptor superfamily, member 21	1.2165729	
DBP	DBP	DBP	D site of albumin promoter (albumin D-box) binding protein	1.2142429	
BTN2A3P	BTN2A3P	null	null	1.2139928	
MAP3K14	MAP3K14	MAP3K14	mitogen-activated protein kinase kinase kinase 14	1.1987755	
TTC21A	TTC21A	TTC21A	tetratricopeptide repeat domain 21A	1.1930472	
MAF	MAF	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	1.1893789	
C2	C2	C2	complement component 2	1.170678	
TMEM91	TMEM91	TMEM91	transmembrane protein 91	1.1620169	
SH2D3C	SH2D3C	SH2D3C	SH2 domain containing 3C	1.157537	
SULT1A4	SULT1A4	SULT1A4	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 4	1.1572571	
MPHOSPH9	MPHOSPH9	MPHOSPH9	M-phase phosphoprotein 9	1.1537268	
KCNE3	KCNE3	KCNE3	potassium voltage-gated channel, Isk-related family, member 3	1.1356626	
TRPV4	TRPV4	TRPV4	transient receptor potential cation channel, subfamily V, member 4	1.134166	
MPND	MPND	null	null	1.1208491	
ZNF44	ZNF44	ZNF44	zinc finger protein 44	1.1199976	
PARVG	PARVG	PARVG	parvin, gamma	1.1094925	
UBR2	UBR2	UBR2	ubiquitin protein ligase E3 component n-recognin 2	1.1093699	
POMK	POMK	null	null	1.109353	
PSMB10	PSMB10	PSMB10	proteasome (prosome, macropain) subunit, beta type, 10	1.1085049	
BTN3A1	BTN3A1	BTN3A1	butyrophilin, subfamily 3, member A1	1.1054465	
FBXO6	FBXO6	FBXO6	F-box protein 6	1.1053705	
ARHGEF10L	ARHGEF10L	ARHGEF10L	Rho guanine nucleotide exchange factor (GEF) 10-like	1.1002151	
GCHFR	GCHFR	GCHFR	GTP cyclohydrolase I feedback regulator	1.099392	
TXNL4B	TXNL4B	TXNL4B	thioredoxin-like 4B	1.0973707	
C19orf60	C19orf60	null	null	1.0951442	
PHF1	PHF1	PHF1	PHD finger protein 1	1.0946954	
ZNF490	ZNF490	ZNF490	zinc finger protein 490	1.093089	
TIAM1	TIAM1	TIAM1	T-cell lymphoma invasion and metastasis 1	1.0914941	
EIF4E3	EIF4E3	EIF4E3	eukaryotic translation initiation factor 4E member 3	1.0908778	
MOV10	MOV10	MOV10	Mov10, Moloney leukemia virus 10, homolog (mouse)	1.0903082	
ZNRD1-AS1	ZNRD1-AS1	null	null	1.0833895	
RP1-223E5.4	RP1-223E5.4	null	null	1.0816673	
PCAT6	PCAT6	null	null	1.0776536	
PSRC1	PSRC1	PSRC1	proline/serine-rich coiled-coil 1	1.0763869	
TAPBP	TAPBP	TAPBP	TAP binding protein (tapasin)	1.0701848	
IGFBP3	IGFBP3	IGFBP3	insulin-like growth factor binding protein 3	1.0677265	
SULT1A3	SULT1A3	SULT1A3	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 3	1.0674033	
HLA-F	HLA-F	HLA-F	major histocompatibility complex, class I, F	1.0654467	
SNRPGP2	SNRPGP2	SNRPGP2	small nuclear ribonucleoprotein polypeptide G pseudogene 2	1.064394	
CD40	CD40	CD40	CD40 molecule, TNF receptor superfamily member 5	1.0591644	
CTC-471F3.4	CTC-471F3.4	null	null	1.0555273	
HLA-DRA	HLA-DRA	HLA-DRA	major histocompatibility complex, class II, DR alpha	1.0509219	
LINC00324	LINC00324	null	null	1.0503428	
