NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	196	0.49747688	2.5854156	0.0	0.0	0.0	3161	tags=45%, list=23%, signal=57%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	90	0.52814806	2.4508722	0.0	0.0	0.0	3169	tags=51%, list=23%, signal=66%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	166	0.45303026	2.3326209	0.0	0.0	0.0	2918	tags=43%, list=21%, signal=53%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	86	0.46726504	2.1431324	0.0	0.0	0.0	3230	tags=48%, list=23%, signal=62%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	197	0.3894016	2.011107	0.0	0.0	0.0	3933	tags=46%, list=28%, signal=63%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	132	0.35331002	1.7620571	0.0	0.006026485	0.016	2942	tags=33%, list=21%, signal=41%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	128	0.36027774	1.759693	0.0	0.0054893685	0.017	2593	tags=30%, list=19%, signal=36%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	193	0.3352148	1.7490617	0.0	0.005944083	0.021	3937	tags=41%, list=28%, signal=56%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	177	0.33447903	1.7283763	0.0	0.0068019074	0.027	2974	tags=36%, list=21%, signal=45%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	196	0.3277429	1.7279904	0.0	0.0061217165	0.027	2877	tags=34%, list=21%, signal=42%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	107	0.3634378	1.7120458	0.0	0.0062253703	0.03	2118	tags=27%, list=15%, signal=32%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	133	0.32418036	1.6306537	0.0	0.011423816	0.059	3583	tags=43%, list=26%, signal=57%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	81	0.3522116	1.5918885	0.0032467532	0.015861616	0.09	2886	tags=33%, list=21%, signal=42%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	126	0.31425652	1.5404235	0.0	0.024224915	0.144	3123	tags=34%, list=22%, signal=44%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	160	0.30146718	1.52922	0.0	0.024285713	0.154	3101	tags=33%, list=22%, signal=42%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	64	0.3410315	1.4815246	0.017064847	0.03474168	0.225	3711	tags=45%, list=27%, signal=61%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	10	0.5614558	1.4588931	0.10514019	0.039996564	0.259	2810	tags=60%, list=20%, signal=75%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	175	0.28079256	1.4486588	0.013157895	0.040842794	0.277	3720	tags=39%, list=27%, signal=52%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	194	0.27220505	1.4393258	0.0	0.042162903	0.302	3074	tags=32%, list=22%, signal=40%	
